name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
Rosewater,Fine Dining,Chennai,Anna Nagar East,13.09020091,80.21255393,"North Indian, Asian, Continental",1500,"No Alcohol Available, Cash, Lunch, Dinner, Debit Card, Credit Card, Valet Parking Available, Table booking recommended, Buffet, Indoor Seating, Air Conditioned",4.2
Midnight Masala,Quick Bites,Chennai,Kodambakkam,13.05343916,80.22424635,"North Indian, Chinese, Biryani, South Indian",450,"Lunch, Delivery, Credit Card, Dinner, Cash, Takeaway Available, Free Parking, Air Conditioned, Indoor Seating",2.5
Sita Paani,Quick Bites,Coimbatore,Podanur,10.95365929,76.9534678,North Indian,500,"Cash, No Alcohol Available, Dinner, Credit Card, Takeaway Available, Lunch, Delivery, Outdoor Seating, Air Conditioned, Indoor Seating",3.7
Hundreds Heritage,Fine Dining,Vellore,Gandhi Nagar,12.95025842,79.13913187,"Biryani, Chinese, North Indian, South Indian",1500,"Credit Card, Lunch, Takeaway Available, No Alcohol Available, Cash, Debit Card, Dinner, Indoor Seating, Variable Menu, Air Conditioned, Valet Parking Available, Table booking recommended",3.7
Loretta's Shakes & Screams,Cafe,Chennai,Anna Nagar East,13.09014899,80.2117563,"Cafe, Fast Food, Beverages",600,"Dinner, Cash, Takeaway Available, Credit Card, Lunch, Delivery, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted, Table Reservation Not Required, Halal",3.8
"Pandhal Cake Shop, Panampilly Nagar",Dessert Parlour,Kochi,Panampilly Nagar,9.960948819,76.29669808,"Bakery, Desserts",200,"Cash, Takeaway Available, Delivery, Debit Card, Air Conditioned, Desserts and Bakes, Indoor Seating",4
Baker's Cafe,Bakery,Chennai,Mylapore,13.03207843,80.2673357,"Bakery, Fast Food",300,"Cash, Takeaway Available, Credit Card, Delivery, Debit Card, Indoor Seating, Table booking not available, Air Conditioned, Desserts and Bakes, Pre-Ordering Required, Digital Payments Accepted, Catering Available, Pure Veg",3.8
Chillum Cafe,Cafe,Coimbatore,Kalapatti,11.04652003,77.03885827,"Cafe, Fast Food",500,"Lunch, Cash, Takeaway Available, Dinner, Delivery, No Alcohol Available, Indoor Seating, Outdoor Seating",4.2
New Persian Durbar,Casual Dining,Kochi,Kakkanad,10.013343,76.329444,"Arabian, Chinese, Burger",600,"Lunch, Cash, Takeaway Available, Breakfast, No Alcohol Available, Dinner, Delivery, Credit Card, Debit Card, Free Parking, Indoor Seating, Sodexo",2.6
Pathumma's Kitchen,Quick Bites,Kochi,Marine Drive,9.97688627,76.27732515,"Kerala, South Indian",350,"Takeaway Available, No Alcohol Available, Lunch, Cash, Debit Card, Dinner, Credit Card, Delivery, Air Conditioned, Indoor Seating",2.7
